Region,County,0 - 4,5-9,10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 & Over,1/2-Rm-HDB,3-Rm-HDB,4-Rm-HDB,5-Rm-HDB & EC,Condos,Landed Properties,Others,Total Pop,Latitude,Longitude,Kids,Youth,Working,Elderly
Serangoon,Seletar Hills,460,600,740,870,1090,1130,800,710,890,1050,1050,1180,1120,950,640,440,280,150,90,0,0,0,0,1950,12250,40,14240,1.3838,103.8676,1800,1960,7930,2550
Serangoon,Serangoon Central,710,780,950,1230,1380,2090,1940,1570,1480,1830,1700,2110,2380,1860,1300,720,500,250,140,0,3930,10690,4970,3950,1240,140,24920,1.3532,103.8706,2440,2610,15100,4770
Serangoon,Serangoon Garden,1000,1220,1590,1900,2350,2670,2260,2000,2240,2590,2610,2950,3250,2870,1940,1230,880,530,330,1220,4590,9990,4050,1120,14880,560,36410,1.3631,103.8664,3810,4250,20570,7780
Serangoon,Serangoon North,520,620,850,1020,1340,1410,960,1000,970,1160,1410,1450,1320,960,530,300,180,110,40,0,0,6480,9660,0,0,10,16150,1.3745,103.8727,1990,2360,9680,2120
Serangoon,Serangoon North Ind Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.374,103.8638,0,0,0,0
Serangoon,Upper Paya Lebar,540,710,700,780,950,1450,1250,1020,1090,1080,1130,1260,1370,1060,760,460,290,160,90,330,1490,4830,2530,4020,2850,100,16150,1.3467,103.8762,1950,1730,9650,2820
Simpang,Pulau Seletar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.444,103.8645,0,0,0,0
Simpang,Simpang North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4479,103.846,0,0,0,0
Simpang,Simpang South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4342,103.8555,0,0,0,0
Simpang,Tanjong Irau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4545,103.8523,0,0,0,0
Singapore River,Boat Quay,0,10,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,90,0,10,100,1.2877,103.8482,10,0,60,30
Singapore River,Clarke Quay,10,0,0,10,0,10,20,20,10,20,10,10,0,0,0,0,0,0,10,0,0,0,0,50,0,80,130,1.2898,103.8449,10,10,100,10
Singapore River,Robertson Quay,220,200,160,110,80,110,170,320,400,350,210,160,120,80,70,40,20,10,10,0,0,0,0,2810,0,30,2840,1.2916,103.8361,580,190,1840,230
Southern Islands,Sentosa,130,120,110,90,90,70,80,160,180,240,180,180,120,60,30,20,10,0,0,0,0,0,0,1220,640,10,1870,1.2489,103.8343,360,180,1210,120
Southern Islands,Southern Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2229,103.8548,0,0,0,0
Straits View,Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2714,103.8593,0,0,0,0
Sungei Kadut,Gali Batu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4004,103.7629,0,0,0,0
Sungei Kadut,Kranji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4334,103.7605,0,0,0,0
Sungei Kadut,Pang Sua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4124,103.7483,0,0,0,0
